;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;02.850.182/0001-15;02.850.182/0001-15 - ELETROCEL LTDA;1;200000.0;200000.0
1;03.691.134/0001-94;03.691.134/0001-94 - PAESAN - PAVIMENTACAO ENGENHARIA E SANEAMENTO LTDA;1;276551.1;276551.1
2;04.910.323/0001-73;04.910.323/0001-73 - MOVEIS ANDRADE - INDUSTRIA E COMERCIO DE MOVEIS HOSPITALARES;3;376000.0;125333.33333333333
3;09.316.105/0018-77;09.316.105/0018-77 - FRIOVIX COMERCIO DE REFRIGERACAO LTDA;2;151450.0;75725.0
4;21.055.961/0001-73;21.055.961/0001-73 - CONCRETTA PLANEJAMENTO E EXECUCAO DE OBRAS CIVIS LTDA;3;311609.44999999995;103869.81666666665
5;27.343.602/0001-06;27.343.602/0001-06 - JLM DISTRIBUIDORA LTDA;9;202569.71;22507.745555555553
