;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.000.000/2337-06;00.000.000/2337-06 - BANCO DO BRASIL SA;21;52876.28;2517.9180952380952
1;00.099.702/0001-74;00.099.702/0001-74 - SANTA CRUZ ESPORTE CLUBE;2;134000.0;67000.0
2;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;98;2032810.2;20742.961224489794
3;00.211.335/0001-59;00.211.335/0001-59 - CONSELHO DE DESENVOLVIMENTO COMUNITARIO DE ABELHA;1;10000.0;10000.0
4;00.360.305/0142-45;00.360.305/0142-45 - CAIXA ECONOMICA FEDERAL;3;17150.0;5716.666666666667
5;00.360.305/3540-03;00.360.305/3540-03 - CAIXA ECONOMICA FEDERAL;7;1676630.74;239518.67714285714
6;00.378.257/0001-81;00.378.257/0001-81 - FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;2;4331.8099999999995;2165.9049999999997
7;00.394.460/0001-41;00.394.460/0001-41 - MINISTERIO DA FAZENDA;12;863745.14;71978.76166666667
8;00.394.460/0105-38;00.394.460/0105-38 - MINISTERIO DA FAZENDA;2;3353.5699999999997;1676.7849999999999
9;00.394.494/0104-41;00.394.494/0104-41 - MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;1;1467.35;1467.35
10;00.474.973/0001-62;00.474.973/0001-62 - ESCRITORIO CENTRAL DE ARRECADACAO E DISTRIBUICAO ECAD;2;38886.55;19443.275
11;00.604.122/0001-97;00.604.122/0001-97 - TRIVALE INSTITUICAO DE PAGAMENTO LTDA;55;2129728.45;38722.33545454546
12;00.662.270/0003-20;00.662.270/0003-20 - INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA;1;90.09;90.09
13;00.703.157/0001-83;00.703.157/0001-83 - CONFEDERACAO NACIONAL DE MUNICIPIOS;1;15000.0;15000.0
14;00.827.783/0001-81;00.827.783/0001-81 - KURUMA VEICULOS S A;1;0.0;0.0
15;00.827.783/0031-05;00.827.783/0031-05 - KURUMA VEICULOS S A;6;8529.65;1421.6083333333333
16;00.982.872/0006-07;00.982.872/0006-07 - AUTUS COMERCIAL DISTRIBUIDORA LTDA;14;15212.619999999999;1086.6157142857141
17;01.105.481/0001-62;01.105.481/0001-62 - PEG INFORMATICA LTDA;2;31715.0;15857.5
18;01.181.521/0001-55;01.181.521/0001-55 - BANCO COOPERATIVO SICREDI S A;1;2040.0;2040.0
19;01.563.351/0004-16;01.563.351/0004-16 - TRIAMA NORTE TRATORES IMPLEMENTOS AGRICOLAS E MAQUINAS LTDA;2;6276.71;3138.355
20;01.590.728/0009-30;01.590.728/0009-30 - MICROTECNICA INFORMATICA LTDA;1;252884.5;252884.5
21;01.639.917/0001-01;01.639.917/0001-01 - CASA LIMA LAGOENSE LTDA;54;563752.52;10439.861481481481
22;01.654.749/0001-15;01.654.749/0001-15 - STRADA VEICULOS E PECAS LTDA;1;108900.0;108900.0
23;01.728.634/0001-28;01.728.634/0001-28 - STATUS PAPELARIA LTDA;2;16768.0;8384.0
