;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;02.850.182/0001-15;02.850.182/0001-15 - ELETROCEL LTDA;1;197863.9;197863.9
1;03.691.134/0001-94;03.691.134/0001-94 - PAESAN - PAVIMENTACAO ENGENHARIA E SANEAMENTO LTDA;5;3118791.29;623758.258
2;09.290.603/0001-40;09.290.603/0001-40 - INTERMAPAS GEOTECNOLOGIAS LTDA;2;168015.72;84007.86
3;17.434.732/0001-92;17.434.732/0001-92 - CONSTRUTORA ANA CLARA LTDA;10;1021657.98;102165.798
4;19.758.309/0001-73;19.758.309/0001-73 - ENPROL ENGENHARIA E PROJETOS LTDA;4;1419498.24;354874.56
5;21.055.961/0001-73;21.055.961/0001-73 - CONCRETTA PLANEJAMENTO E EXECUCAO DE OBRAS CIVIS LTDA;4;713244.37;178311.0925
6;26.368.565/0001-10;26.368.565/0001-10 - G S COSTA CONSTRUTORA LTDA;1;144165.8;144165.8
7;41.804.972/0001-16;41.804.972/0001-16 - ESTRELA INFRAESTRUTURA LTDA;4;1835328.0;458832.0
