desModalidade;committedValue-2021%;committedValue-2022%;committedValue-2023%;committedValue-2024%;committedValue-2025%;committedValue-2026%;committedValue-AllTime%
Dispensa;67.69851802634594;54.621885140521655;54.42083505716432;62.18279996183183;66.61066606403644;62.23650884536689;61.017833375521015
Pregao Eletronico;9.0851171215058;21.943407365756013;18.211685898797388;14.009393681480026;9.51220200531764;6.8373563764425755;13.59541886548804
Pregao;9.435695629187988;17.132727048750528;13.660318673732878;5.063681093198104;5.346612151294467;5.10970891225009;9.156747673258497
Concorrencia;;0.2152296191154555;2.0149079693241867;10.408714361617404;11.18598319544262;17.198209939513333;7.202173063641289
Tomada de Precos;1.6441957169270924;3.93535070017507;8.19132825807118;5.356098746288008;2.524117823989528;1.83126161020045;4.162326993097876
Inexigibilidade;4.542533410732339;2.048134417991106;3.5009241429100504;2.9793121555846214;4.820418759919296;6.786954316226647;4.016545064415418
Convite;7.593940095300853;0.10326570769018555;;;;;0.8489549645778645
